dataset,step,rows_before,rows_after,rows_affected,issue_found,action_taken,assumption,status,timestamp
daily_demand,load_raw,0,5000,-5000,Raw file loaded,"Read 5,000 rows from CSV",All columns loaded as string dtype for safe inspection,PASS,2026-04-21 09:48:09
daily_demand,parse_date_column,5000,5000,0,date column stored as string dtype,"pd.to_datetime applied, unparseable rows dropped",All dates follow ISO 8601 YYYY-MM-DD format,PASS,2026-04-21 09:48:09
daily_demand,drop_corrupted_weekend_flag,5000,5000,0,weekend_flag contains 01/01/1970 Unix epoch strings not binary 0/1,Column dropped entirely,is_weekend will be re-derived deterministically from the date column,PASS,2026-04-21 09:48:09
daily_demand,drop_day_column,5000,5000,0,day column is redundant -- derived from date,Validated sample then dropped column,date column is the single authoritative source for all temporal data,PASS,2026-04-21 09:48:09
daily_demand,coerce_numeric_columns,5000,5000,0,Numeric columns stored as string dtype after all-string CSV load,"pd.to_numeric applied to units_ordered, price_usd, weather_disruption_index",Non-numeric strings in these columns are data entry errors coerced to NaN,PASS,2026-04-21 09:48:09
daily_demand,standardise_region,5000,5000,0,Region values may have inconsistent casing or whitespace,Strip whitespace and apply Title Case. Validate against canonical list.,Canonical regions are North South East West in Title Case,PASS,2026-04-21 09:48:09
daily_demand,validate_sku_ids,5000,5000,0,SKU IDs must match canonical format SKU-XXXXXX (6 digits),Regex validation applied. Non-conforming IDs flagged not dropped.,Canonical SKU format is SKU- followed by exactly 6 numeric digits,PASS,2026-04-21 09:48:09
daily_demand,remove_negative_units,5000,5000,0,units_ordered may contain negative or zero values,Rows with units_ordered <= 0 removed,Negative values are data entry errors not product returns,PASS,2026-04-21 09:48:09
daily_demand,cap_units_outliers,5000,5000,0,Extreme units_ordered values inflate safety stock calculations,Winsorised at 99.9th percentile,Values above 99.9th percentile are anomalies not genuine demand signals,PASS,2026-04-21 09:48:09
daily_demand,assert_price_positive,5000,5000,0,price_usd must be strictly positive for stockout penalty calc,Positivity assertion passed -- no action needed,Free products with price=0 are not in scope for this pipeline,PASS,2026-04-21 09:48:09
daily_demand,validate_binary_flags,5000,5000,0,"Binary flags may contain values outside {0, 1}","Values outside {0,1} coerced to 0. Columns cast to int.",An unrecognised flag value means the event was not active,PASS,2026-04-21 09:48:09
daily_demand,engineer_date_features,5000,5000,0,Temporal features not present in raw data,"Derived year, month, quarter, week_number, day_of_week, year_week, is_weekend",ISO 8601 week standard used. year_week format is YYYY-Www e.g. 2023-W04,PASS,2026-04-21 09:48:09
daily_demand,audit_sku_occurrence,5000,5000,0,"All 5,000 sku_ids appear exactly once -- no longitudinal SKU history",Documented. Forecasting pipeline will aggregate to week-region-category grain.,week x region x category grain has sufficient history for LightGBM regression,WARN,2026-04-21 09:48:09
daily_demand,write_interim_checkpoint,5000,5000,0,,Interim CSV written to /content/Regional-demand-forecasting-optimizer-final/data/interim/daily_demand_interim.csv,Interim file is for debugging only -- not used by downstream modules,PASS,2026-04-21 09:48:09
daily_demand,schema_audit,5000,5000,0,,Schema validated against project_config.COLUMNS contract,All columns in project_config.COLUMNS must be present in clean output,PASS,2026-04-21 09:48:09
daily_demand,write_processed_output,5000,5000,0,,Clean CSV written to /content/Regional-demand-forecasting-optimizer-final/data/processed/daily_demand_clean.csv,,PASS,2026-04-21 09:48:09
