dataset,step,rows_before,rows_after,rows_affected,issue_found,action_taken,assumption,status,timestamp
event_calendar,load_raw,0,5000,-5000,Raw file loaded,"Read 5,000 rows from CSV",All columns loaded as string dtype for safe inspection,PASS,2026-04-21 09:52:15
event_calendar,parse_date_column,5000,5000,0,date column stored as string dtype,"pd.to_datetime applied, unparseable rows dropped",All dates follow ISO 8601 YYYY-MM-DD format,PASS,2026-04-21 09:52:15
event_calendar,drop_corrupted_weekend_flag,5000,5000,0,weekend_flag contains 01/01/1970 Unix epoch strings not binary 0/1,Column dropped entirely before deduplication,is_weekend will be re-derived deterministically from the date column,PASS,2026-04-21 09:52:15
event_calendar,coerce_numeric_columns,5000,5000,0,Numeric columns stored as string after all-string CSV load,pd.to_numeric applied. Flag NaN values filled with 0.,Non-numeric strings are data entry errors coerced to NaN then 0,PASS,2026-04-21 09:52:15
event_calendar,audit_duplicate_dates,5000,5000,0,"4,438 duplicate date rows found in raw event_calendar",Documented. Deduplication will collapse to 562 unique dates.,Duplicate rows are a data generation artifact not multiple events per day,WARN,2026-04-21 09:52:15
event_calendar,deduplicate_dates,5000,562,4438,"4,438 duplicate date rows removed","groupby(date).agg(max for flags, mean for weather)",A date is an event day if ANY source row has the flag set (MAX),PASS,2026-04-21 09:52:15
event_calendar,validate_binary_flags,562,562,0,groupby max() produces float dtype -- flags must be re-cast to int,validate_binary_flags() applied post-deduplication,After max aggregation all flag values are exactly 0.0 or 1.0,PASS,2026-04-21 09:52:15
event_calendar,validate_weather_index,562,562,0,"202 weather_disruption_index values outside [0,1]",Flagged for investigation -- values retained as-is,"weather_disruption_index should be normalised to [0,1] in the source system",WARN,2026-04-21 09:52:15
event_calendar,engineer_date_features,562,562,0,Temporal features not present in raw data,"Derived year, month, quarter, week_number, day_of_week, year_week, is_weekend",ISO 8601 week standard used. year_week format is YYYY-Www.,PASS,2026-04-21 09:52:15
event_calendar,write_interim_checkpoint,562,562,0,,Interim CSV written to /content/Regional-demand-forecasting-optimizer-final/data/interim/event_calendar_interim.csv,Interim file is for debugging only,PASS,2026-04-21 09:52:15
event_calendar,schema_audit,562,562,0,,Schema validated against project_config.COLUMNS contract,All columns in project_config.COLUMNS must be present,PASS,2026-04-21 09:52:15
event_calendar,write_processed_output,562,562,0,,Clean CSV written to /content/Regional-demand-forecasting-optimizer-final/data/processed/event_calendar_clean.csv,,PASS,2026-04-21 09:52:15
